UniqueCarrier,OnTime,ArrDelay,Cancel,Total
9E,62.4,34.6,3,262208
AA,48.3,48.5,3.2,604885
AQ,74.9,24.5,0.6,7800
AS,57.1,41.2,1.7,151102
B6,55.5,42.4,2,196091
CO,51,47.5,1.5,298455
DL,52,46.2,1.8,451931
EV,54.2,43.7,2,280575
F9,50.7,48.9,0.4,95762
FL,53.9,45,1.1,261684
HA,68.7,30.3,1,61826
MQ,54.1,41.9,4,490693
NW,53.3,45.7,1,347652
OH,47.8,48.7,3.5,197607
OO,58.9,38.7,2.4,567159
UA,52.8,44.6,2.6,449515
US,61.3,37,1.7,453589
WN,59.7,39.1,1.2,1201754
XE,53.6,43.4,3,374510
YV,52.6,43.5,3.8,254930
